name,team_code,pos
Anthony Knockaert,54,3
Michael Hector,54,2
Cyrus Christie,54,2
Neeskens Kebano,54,3
Bobby Decordova-Reid,54,4
Joe Bryan,54,2
Marcus Bettinelli,54,1
Aleksandar Mitrović,54,4
Alfie Mawson,54,2
Marek Rodák,54,1
Ivan Ricardo Neves Abreu Cavaleiro,54,3
Josh Onomah,54,3
Jean Michaël Seri,54,3
Aboubakar Kamara,54,3
André-Frank Zambo Anguissa,54,3
Zeze Steven Sessegnon,54,2
Harrison Reed,54,3
Antonee Robinson,54,2
Mario Lemina,54,3
Alphonse Areola,54,1
Kenny Tete,54,2
Denis Odoi,54,2
Ademola Lookman,54,3
Ola Aina,54,2
Joachim Andersen,54,2
Tosin Adarabioyo,54,2
Terence Kongolo,54,2
Josh Maja,54,4
Wes Morgan,13,2
Kasper Schmeichel,13,1
Christian Fuchs,13,2
Jonny Evans,13,2
Adrien Silva,13,3
Marc Albrighton,13,3
Matty James,13,3
Danny Ward,13,1
Jamie Vardy,13,4
Dennis Praet,13,3
Ricardo Domingos Barbosa Pereira,13,2
Daniel Amartey,13,2
Youri Tielemans,13,3
Ayoze Pérez,13,3
Demarai Gray,13,3
James Maddison,13,3
Kelechi Iheanacho,13,4
Hamza Choudhury,13,3
Harvey Barnes,13,3
Wilfred Ndidi,13,3
Filip Benkovic,13,2
Çaglar Söyüncü,13,2
James Justin,13,2
Luke Thomas,13,2
Timothy Castagne,13,2
Nampalys Mendy,13,3
Cengiz Ünder,13,3
Wesley Fofana,13,2
Islam Slimani,13,4
Vontae Daley-Campbell,13,2
Thakgalo Leshabela,13,3
Pablo Hernández Domínguez,2,3
Francisco Casilla Cortés,2,1
Liam Cooper,2,2
Barry Douglas,2,2
Luke Ayling,2,2
Mateusz Klich,2,3
Adam Forshaw,2,3
Stuart Dallas,2,2
Ezgjan Alioski,2,2
Patrick Bamford,2,4
Jack Harrison,2,3
Kalvin Phillips,2,3
Hélder Wander Sousa de Azevedo e Costa,2,3
Tyler Roberts,2,3
Jay-Roy Grot,2,3
Kamil Miazek,2,1
Ian Carlo Poveda-Ocampo,2,3
Jamie Shackleton,2,3
Pascal Struijk,2,2
Jordan Stevens,2,3
Illan Meslier,2,1
Leif Davis,2,2
Oliver Casey,2,2
Robin Koch,2,2
Rodrigo Moreno,2,4
Elia Caprile,2,1
Mateusz Bogusz,2,3
Diego Llorente,2,2
Raphael Dias Belloli,2,3
Jack Jenkins,2,3
Niall Huggins,2,4
Charlie Cresswell,2,2
Joe Gelhardt,2,4
James Milner,14,3
Konstantinos Tsimikas,14,2
Georginio Wijnaldum,14,3
Jordan Henderson,14,3
Adrián San Miguel del Castillo,14,1
Joel Matip,14,2
Xherdan Shaqiri,14,3
Alex Oxlade-Chamberlain,14,3
Roberto Firmino,14,4
Virgil van Dijk,14,2
Sadio Mané,14,3
Alisson Ramses Becker,14,1
Fabio Henrique Tavares,14,3
Mohamed Salah,14,3
Andrew Robertson,14,2
Divock Origi,14,4
Harry Wilson,14,3
Trent Alexander-Arnold,14,2
Joseph Gomez,14,2
Naby Keita,14,3
Curtis Jones,14,3
Neco Williams,14,2
Harvey Elliott,14,3
Diogo Jota,14,3
Thiago Alcántara do Nascimento,14,3
